date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:47:18	127/127	---M-Z	200	added ('OK')	text/plain	etag:%2282-56a2c87268f49-gzip%22	https://www.dssolution.vn/robots.txt		(from )
11:47:19	131269/131269	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Feb%202023%2004:47:18%20GMT	https://www.dssolution.vn/en/	/Users/vntheflash/websites/az-soft-en/www.dssolution.vn/en/index.html	(from )
11:47:20	8344/8344	---M-Z	200	added ('OK')	text/xml	date:Sat,%2004%20Feb%202023%2004:47:19%20GMT	https://www.dssolution.vn/en/feed/	/Users/vntheflash/websites/az-soft-en/www.dssolution.vn/en/feed/index.html	(from https://www.dssolution.vn/en/)
11:47:21	115899/115899	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Feb%202023%2004:47:20%20GMT	https://www.dssolution.vn/en/gcp-en/	/Users/vntheflash/websites/az-soft-en/www.dssolution.vn/en/gcp-en/index.html	(from https://www.dssolution.vn/en/)
11:47:22	72404/72404	---MC-	404	error ('Not%20Found')	text/html	etag:%222131facbb16b32b5eeb6e0422911720f%22	https://www.dssolution.vn/en/comments/feed/	/Users/vntheflash/websites/az-soft-en/www.dssolution.vn/en/comments/feed/index.html	(from https://www.dssolution.vn/en/)
11:47:23	109030/109030	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Feb%202023%2004:47:22%20GMT	https://www.dssolution.vn/en/atlassian-en/	/Users/vntheflash/websites/az-soft-en/www.dssolution.vn/en/atlassian-en/index.html	(from https://www.dssolution.vn/en/)
11:47:24	83890/83890	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Feb%202023%2004:47:23%20GMT	https://www.dssolution.vn/en/blogs-en/	/Users/vntheflash/websites/az-soft-en/www.dssolution.vn/en/blogs-en/index.html	(from https://www.dssolution.vn/en/)
11:47:24	122020/122020	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Feb%202023%2004:47:23%20GMT	https://www.dssolution.vn/en/software-development-en/	/Users/vntheflash/websites/az-soft-en/www.dssolution.vn/en/software-development-en/index.html	(from https://www.dssolution.vn/en/)
11:47:26	80590/80590	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Feb%202023%2004:47:24%20GMT	https://www.dssolution.vn/en/about-dssolution-vietnam/	/Users/vntheflash/websites/az-soft-en/www.dssolution.vn/en/about-dssolution-vietnam/index.html	(from https://www.dssolution.vn/en/)
11:47:26	80280/80280	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Feb%202023%2004:47:24%20GMT	https://www.dssolution.vn/en/contact-dss-vietnam/	/Users/vntheflash/websites/az-soft-en/www.dssolution.vn/en/contact-dss-vietnam/index.html	(from https://www.dssolution.vn/en/)
11:47:27	82132/82132	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Feb%202023%2004:47:26%20GMT	https://www.dssolution.vn/en/notice-of-lunar-new-year-holiday-closure/	/Users/vntheflash/websites/az-soft-en/www.dssolution.vn/en/notice-of-lunar-new-year-holiday-closure/index.html	(from https://www.dssolution.vn/en/)
11:47:27	86598/86598	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Feb%202023%2004:47:26%20GMT	https://www.dssolution.vn/en/ds-solution-vietnam-first-year-highlights/	/Users/vntheflash/websites/az-soft-en/www.dssolution.vn/en/ds-solution-vietnam-first-year-highlights/index.html	(from https://www.dssolution.vn/en/)
11:47:28	89642/89642	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Feb%202023%2004:47:27%20GMT	https://www.dssolution.vn/en/kubernetes-eliminates-matrix-from-hell/	/Users/vntheflash/websites/az-soft-en/www.dssolution.vn/en/kubernetes-eliminates-matrix-from-hell/index.html	(from https://www.dssolution.vn/en/)
11:47:29	92451/92451	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Feb%202023%2004:47:28%20GMT	https://www.dssolution.vn/en/privacy-policy-en/	/Users/vntheflash/websites/az-soft-en/www.dssolution.vn/en/privacy-policy-en/index.html	(from https://www.dssolution.vn/en/)
11:48:36	80830/80830	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Feb%202023%2004:48:36%20GMT	https://www.dssolution.vn/en/clean-food-chain-project/	/Users/vntheflash/websites/az-soft-en/www.dssolution.vn/en/clean-food-chain-project/index.html	(from https://www.dssolution.vn/en/blogs-en/)
11:48:37	854/854	---M-Z	200	added ('OK')	text/xml	date:Sat,%2004%20Feb%202023%2004:48:37%20GMT	https://www.dssolution.vn/en/notice-of-lunar-new-year-holiday-closure/feed/	/Users/vntheflash/websites/az-soft-en/www.dssolution.vn/en/notice-of-lunar-new-year-holiday-closure/feed/index.html	(from https://www.dssolution.vn/en/notice-of-lunar-new-year-holiday-closure/)
11:48:37	81340/81340	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Feb%202023%2004:48:36%20GMT	https://www.dssolution.vn/en/gap-container-migration-best-practices/	/Users/vntheflash/websites/az-soft-en/www.dssolution.vn/en/gap-container-migration-best-practices/index.html	(from https://www.dssolution.vn/en/blogs-en/)
11:48:39	858/858	---M-Z	200	added ('OK')	application/rss+xml	etag:%22c9531a71a08d6e1e31f43823ca5d26b5-gzip%22	https://www.dssolution.vn/en/ds-solution-vietnam-first-year-highlights/feed/	/Users/vntheflash/websites/az-soft-en/www.dssolution.vn/en/ds-solution-vietnam-first-year-highlights/feed/index.html	(from https://www.dssolution.vn/en/ds-solution-vietnam-first-year-highlights/)
11:48:39	78256/78256	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Feb%202023%2004:48:38%20GMT	https://www.dssolution.vn/en/category/gcp/	/Users/vntheflash/websites/az-soft-en/www.dssolution.vn/en/category/gcp/index.html	(from https://www.dssolution.vn/en/notice-of-lunar-new-year-holiday-closure/)
11:48:40	841/841	---M-Z	200	added ('OK')	application/rss+xml	etag:%22a0a06f24f510f8ac1a8adcea2ccf5b7e-gzip%22	https://www.dssolution.vn/en/kubernetes-eliminates-matrix-from-hell/feed/	/Users/vntheflash/websites/az-soft-en/www.dssolution.vn/en/kubernetes-eliminates-matrix-from-hell/feed/index.html	(from https://www.dssolution.vn/en/kubernetes-eliminates-matrix-from-hell/)
11:48:41	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2004%20Feb%202023%2004:48:35%20GMT	https://www.dssolution.vn/en/contact/	/Users/vntheflash/websites/az-soft-en/www.dssolution.vn/en/contact/index.html	(from https://www.dssolution.vn/en/atlassian-en/)
11:49:53	799/799	---M-Z	200	added ('OK')	application/rss+xml	etag:%22287f59625e79ea5fe2d5d6dcff3e077e-gzip%22	https://www.dssolution.vn/en/clean-food-chain-project/feed/	/Users/vntheflash/websites/az-soft-en/www.dssolution.vn/en/clean-food-chain-project/feed/index.html	(from https://www.dssolution.vn/en/clean-food-chain-project/)
11:49:53	902/902	---M-Z	200	added ('OK')	application/rss+xml	etag:%22287f59625e79ea5fe2d5d6dcff3e077e-gzip%22	https://www.dssolution.vn/en/gap-container-migration-best-practices/feed/	/Users/vntheflash/websites/az-soft-en/www.dssolution.vn/en/gap-container-migration-best-practices/feed/index.html	(from https://www.dssolution.vn/en/gap-container-migration-best-practices/)
11:49:54	75952/75952	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Feb%202023%2004:49:53%20GMT	https://www.dssolution.vn/en/category/ansible/	/Users/vntheflash/websites/az-soft-en/www.dssolution.vn/en/category/ansible/index.html	(from https://www.dssolution.vn/en/gap-container-migration-best-practices/)
11:49:55	5233/5233	---M-Z	200	added ('OK')	application/rss+xml	etag:%22827edeb0d52324e78be397646f3ea94d-gzip%22	https://www.dssolution.vn/en/category/gcp/feed/	/Users/vntheflash/websites/az-soft-en/www.dssolution.vn/en/category/gcp/feed/index.html	(from https://www.dssolution.vn/en/category/gcp/)
11:49:56	74615/74615	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Feb%202023%2004:49:55%20GMT	https://www.dssolution.vn/en/category/blockchain/	/Users/vntheflash/websites/az-soft-en/www.dssolution.vn/en/category/blockchain/index.html	(from https://www.dssolution.vn/en/clean-food-chain-project/)
