date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:27:23	127/127	---M-Z	200	added ('OK')	text/plain	etag:%2282-56a2c87268f49-gzip%22	https://www.dssolution.vn/robots.txt		(from )
01:27:24	138885/138885	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202023%2018:27:23%20GMT	https://www.dssolution.vn/vi/	/Users/vntheflash/websites/az-template/www.dssolution.vn/vi/index.html	(from )
01:27:25	15519/15519	---M-Z	200	added ('OK')	application/rss+xml	etag:%22827edeb0d52324e78be397646f3ea94d-gzip%22	https://www.dssolution.vn/vi/feed/	/Users/vntheflash/websites/az-template/www.dssolution.vn/vi/feed/index.html	(from https://www.dssolution.vn/vi/)
01:27:25	120843/120843	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202023%2018:27:25%20GMT	https://www.dssolution.vn/vi/google-cloud-platform-vi/	/Users/vntheflash/websites/az-template/www.dssolution.vn/vi/google-cloud-platform-vi/index.html	(from https://www.dssolution.vn/vi/)
01:27:26	102655/102655	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202023%2018:27:25%20GMT	https://www.dssolution.vn/vi/dich-vu-atlassian/	/Users/vntheflash/websites/az-template/www.dssolution.vn/vi/dich-vu-atlassian/index.html	(from https://www.dssolution.vn/vi/)
01:27:26	75539/75539	---MC-	404	error ('Not%20Found')	text/html	etag:%22636e4638ea7adee64ec81c8899bcf8fd%22	https://www.dssolution.vn/vi/comments/feed/	/Users/vntheflash/websites/az-template/www.dssolution.vn/vi/comments/feed/index.html	(from https://www.dssolution.vn/vi/)
01:27:26	102170/102170	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202023%2018:27:26%20GMT	https://www.dssolution.vn/vi/tu-van-ho-tro-su-dung-atlassian/	/Users/vntheflash/websites/az-template/www.dssolution.vn/vi/tu-van-ho-tro-su-dung-atlassian/index.html	(from https://www.dssolution.vn/vi/)
01:27:26	139946/139946	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202023%2018:27:26%20GMT	https://www.dssolution.vn/vi/san-pham-atlassian/	/Users/vntheflash/websites/az-template/www.dssolution.vn/vi/san-pham-atlassian/index.html	(from https://www.dssolution.vn/vi/)
01:27:27	128218/128218	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202023%2018:27:27%20GMT	https://www.dssolution.vn/vi/software-development-vi/	/Users/vntheflash/websites/az-template/www.dssolution.vn/vi/software-development-vi/index.html	(from https://www.dssolution.vn/vi/)
01:27:27	130175/130175	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202023%2018:27:27%20GMT	https://www.dssolution.vn/vi/phat-trien-tinh-nang-atlassian/	/Users/vntheflash/websites/az-template/www.dssolution.vn/vi/phat-trien-tinh-nang-atlassian/index.html	(from https://www.dssolution.vn/vi/)
